,isim,baslangicT,bitisTarih,tur,konuPuan,aktorS,oyuncuKadroPuan,imdb,sezonSayisi,sezonDurumu
346,Doludizgin yillar,2008,2010,Drama,18.0,"Yusuf Ömer Sinav,Selen Seyven,Erdal Cindoruk,Bigkem Melisa Özelçi",6.3375,6.5,3,olgun
347,Küçük Kadinlar,2008,2010,Drama,18.0,"Hande Soral,Fulya Zenginer,Elit Iscan,Selin Ilgar",3.7375000000000003,3.4,3,olgun
348,Derdest,2008,2010,Drama,18.0,"Orhan Kilic,Sezin Akbasogullari,Burak Sergen,Nihan Büyükagaç",5.683333333333334,5.4,3,olgun
349,Elif,2008,2010,Drama,17.0,"Mehmet Feim Mehmedof,Keremcem,Yasemin Kay Allen,Ferdi Akarnur",5.216666666666667,4.7,3,olgun
350,Ask-i Memnu,2008,2011,Drama,17.0,"Beren Saat,Kivanç Tatlitug,Nebahat Çehre,Nur Fettahoglu",6.507142857142857,7.2,4,olgun
351,Dügün sarkicisi,2008,2010,Comedy,16.333333333333332,"Nese Karaböcek,Asli Kökçe,Muhittin Paydas,Mustafa Uzunyilmaz",4.3,4.3,3,olgun
352,Gece gündüz,2008,2009,Drama,18.0,"Orhan Eskin,Ömer Güney,Ece Hakim,Elif Nur Kerkük",6.533333333333333,6.9,2,basarili
353,Akasya duragi,2008,2012,Comedy,16.0,"Erol Günaydin,Pelin Sönmez,Asli Altaylar,Zeki Alasya",4.3325000000000005,2.2,5,olgun
354,Eyvah halam,2008,2010,Comedy,15.5,"Defne Yalniz,Dogac Yildiz,Ece Çesmioglu,Zeynep Özkaya",5.1,5.1,3,olgun
355,Son bahar,2008,2010,Drama,18.0,"Basri Albayrak,Erkan Petekkaya,Ayça Varlier,Çelik Bilge",6.321666666666666,6.7,3,olgun
356,Gece Sesleri,2008,2010,Drama,16.0,"Nursim Demir,Ebru Aykaç,Özlem Baskaya,Ismail Hacioglu",5.918749999999999,6.0,3,olgun
357,Memur Muzaffer,2008,2010,Drama,18.0,"Ferdi Tayfur,Billur Yazgan,Sevil Ustekin,Yeliz Tozan",5.9750000000000005,6.3,3,olgun
358,Canim ailem,2008,2010,Comedy,16.333333333333332,"Funda Eryigit,Ugur Yücel,Ozan Güven,Sebnem Bozoklu",7.44375,7.5,3,olgun
359,Adanali,2008,2010,Action,15.5,"Oktay Kaynarca,Mehmet Akif Alakurt,Cagkan Culha,Umut Oguz",4.761666666666667,3.2,3,olgun
360,Çok Güzel Hareketler Bunlar,2008,2011,Comedy,16.0,"Aysegül Akdemir,Gülsüm Alkan,Beyaz,Mehmet Ali Birand",6.4624999999999995,6.4,4,olgun
361,Karamel,2008,2010,Drama,18.0,"Ahu Türkpençe,Emre Kinay,Gökhan Soylu,Ülkü Duru",4.739285714285715,3.4,3,olgun
362,Cennetin çocuklari,2008,2010,Drama,18.0,"Ali Basar,Sinem Boyacioglu,Cansel Elcin,Halim Ercan",5.880952380952381,5.6,3,olgun
363,Disko krali,2008,2010,Comedy,15.0,"Okan Bayülgen,Erol Günaydin,Hakki Devrim,Tayfun Duygulu",6.475,7.0,3,olgun
364,Ölüm Çiçekleri,2008,2010,Action,16.0,"Tan Arcan,Zeynep Beserler,Nadim Güç,Asli Sahin",4.8375,4.8,3,olgun
365,Ask Yakar,2008,2009,Drama,18.0,"Tan Arcan,Meltem Cumbul,Özcan Deniz,Ugur Polat",4.97,3.5,2,basarili
366,1 Kadin 1 Erkek,2008,2010,Comedy,16.0,"Miray Daner,Demet Evgar,Emre Karayel,Hande Subasi",7.295,7.9,3,olgun
367,Serce,2008,2009,Drama,18.0,"Özhan Carda,Deniz Gökçer,Alev Gürzap,Fikret Hakan",5.26,5.5,2,basarili
368,Goncakaranfil,2008,2009,Drama,18.0,"Sarp Akkaya,Alisan,Aslihan Gürbüz,Esref Kolçak",4.6937500000000005,3.6,2,basarili
369,Unutma Beni,2008,2010,Drama,18.0,"Zafer Gokcek,Engin Özsayin,Özgürcan Cevik,Temmuz Gürkan Karaca",4.181666666666667,3.3,3,olgun
370,Sen Harikasin,2008,2010,Comedy,16.0,"Demet Akbag,Ruhsar Gültekin,Güven Kiraç,Ragip Savas",6.390625,6.5,3,olgun
371,Ipsiz Recep,2008,2009,Drama,18.0,"Kadir Inanir,Manolya Asik,Öner Ates,Murat Bölücek",5.605,5.9,2,basarili
372,Kalpsiz Adam,2008,2010,Drama,18.0,"Riza Akin,Saadet Aksoy,Batur Belirdi,Hakan Boyav",6.316666666666666,7.0,3,olgun
373,Cesaretin var mi aska,2008,2010,Comedy,16.0,"Engin Altan Düzyatan,Özge Özpirinçci,Tarik Pabuccuoglu,Ali Erkazan",5.824999999999999,3.4,3,olgun
374,Es-Es,2008,2009,Action,15.5,"Erdal Besikçioglu,Berk Hakman,Derya Alabora,Leyla Lydia Tugutlu",7.0737499999999995,7.2,2,basarili
375,Ece,2008,2010,Comedy,15.333333333333334,"Nazli Akin,Hande Ataizi,Özlem Balci,Osman Bayraktutan",2.23,1.5,3,olgun
376,Benim annem bir melek,2008,2010,Comedy,15.666666666666666,"Oya Basar,Tarik Ünlüoglu,Dolunay Soysert,Ali Sunal",6.6499999999999995,6.2,3,olgun
377,Aninda görüntü show,2008,2009,Comedy,16.0,"Yigit Ari,Hale Caneroglu,Osmantan Erkir,Ayça Isildar",7.0,6.8,2,basarili
378,Yalanci romantik,2008,2010,Comedy,16.0,"Hakan Yilmaz,Ebru Cündübeyoglu,Zerrin Sümer,Yalçin Mentes",6.075,7.5,3,olgun
379,Komedi türk,2008,2010,Comedy,16.0,"Ferdi Akarnur,Icmal Aktuna,Anastasia Beloborodova,Max Bendo",4.5875,4.6,3,olgun
380,Kollama,2008,2011,Action,16.333333333333332,"Burçin Abdullah,Sebahat Adalar,Kamil Adigüzel,Melek Akarsu",6.866666666666666,7.5,4,olgun
381,Pulsar,2008,2008,Comedy,15.5,"Baris Akkoyun,Ayberk Atilla,Ates Aydiner,Buket Dereoglu",6.875,7.0,1,basarisiz
382,Pepee,2008,2015,Animation,15.5,"Meryem Atmaca,Ayse Sule Bilgiç,Iraz Elif Kiraç,Yagiz Alp Simsek",5.725,6.0,8,olgun
383,Papatyam,2009,2018,Comedy,16.333333333333332,"Metin Akpinar,Merve Altinkaya,Ömür Arpaci,Ercüment Balakoglu",5.216666666666667,4.9,10,olgun
384,Görev Pesinde - Der Auftrag,2009,2018,Action,16.0,"Can Aydin,Kazim Carman,Demir Karahan,Guido Kessler",5.941666666666666,5.7,10,olgun
385,Cam kiriklari,2009,2018,Drama,18.0,"Nursel Ergin,Ipek Tenolcay,Kadir Kandemir,Ceren Benderlioglu",4.45625,4.1,10,olgun
386,Aynadaki düsman,2009,2018,Action,16.0,"Safak Sezer,Mine Tugay,Fadik Sevin Atasoy,Mahir Günsiray",4.9625,4.1,10,olgun
387,Bir bulut olsam,2009,2009,Drama,17.0,"Aslihan Gürbüz,Berfu Öngören,Burcu Binici,Ahmet Kural",5.995833333333334,5.8,1,basarisiz
388,Melekler korusun,2009,2010,Comedy,16.666666666666668,"Hümeyra,Avni Yalçin,Rojda Demirer,Serkan Altunorak",5.490625,6.5,2,basarili
389,Genis Aile,2009,2011,Comedy,16.0,"Ufuk Özkan,Rasim Öztekin,Firat Tanis,Ilker Ayrik",6.063333333333333,7.1,3,olgun
390,Ey ask nerdesin,2009,2018,Comedy,16.0,"Burçin Terzioglu,Tayanç Ayaydin,Gülden Avsaroglu,Görkem Yeltan",5.95,5.3,10,olgun
391,Kül ve ates,2009,2018,Drama,18.0,"Serhat Tutumluer,Basak Köklükaya,Taner Ölmez,Serap Aksoy",5.539583333333334,4.8,10,olgun
392,Ezel,2009,2011,Crime,16.333333333333332,"Kenan Imirzalioglu,Cansu Dere,Ipek Bilgin,Bade Iscil",6.9175,8.5,3,olgun
393,Kasaba,2009,2018,Drama,17.0,"Serdal Genç,Talat Bulut,Murat Ünalmis,Lale Yavas",5.948333333333332,6.6,10,olgun
394,Bu kalp seni unutur mu?,2009,2018,Drama,18.0,"Ferit Kaya,Ahmet Devran Dayanc,Burak Demir,Turhan Kaya",6.09,6.1,10,olgun
395,Yeni bastan,2009,2018,Drama,18.0,"Ebru Akel,Leyla Giraud,Senay Gürler,Saruhan Hünel",6.033333333333333,6.0,10,olgun
396,Makber,2009,2018,Drama,18.0,"Seda Bakan,Devrim Nas,Gamze Karaman,Soydan Soydas",4.066071428571428,3.5,10,olgun
397,Samanyolu,2009,2010,Drama,18.0,"Kenan Ece,Eray Özbal,Nesrin Cavadzade,Yilmaz Öztürk",5.091666666666667,4.3,2,basarili
398,Muhabbet krali,2009,2018,Talk-Show,14.0,"Sevil Atasoy,Okan Bayülgen",6.699999999999999,6.6,10,olgun
399,Maskeli balo,2009,2018,Action,16.666666666666668,"Aytaç Arman,Burcu Kara,Burak Hakki,Korel Cezayirli",4.95,3.9,10,olgun
400,Hanimin çiftligi,2009,2011,Drama,18.0,"Özgü Namal,Caner Cindoruk,Mehmet Çevik,Ali Düsenkalkar",5.16375,5.0,3,olgun
401,Ömre bedel,2009,2018,Drama,18.0,"Orhan Biyikli,Özlem Tokaslan,Basri Albayrak,Ege Aydan",5.841666666666667,5.8,10,olgun
402,Kahve bahane,2009,2018,Comedy,16.0,"Batur Belirdi,Selim Erdogan,Öner Erkan,Ragip Gülen",5.670833333333333,5.4,10,olgun
403,Kapaliçarsi,2009,2018,Adventure,17.5,"Olgun Simsek,Asli Tandogan,Mert Firat,Engin Altan Düzyatan",5.756666666666667,5.5,10,olgun
404,Sakarya-Firat,2009,2013,Action,16.666666666666668,"Sezen Aray,Erkan Kolçak Köstendil,Çagdas Onur Öztürk,Ismail Hakki",6.504166666666666,7.0,5,olgun
405,Koca Kafalar Baba Haber Bulteni,2009,2018,Comedy,16.0,Vural Yasaroglu,6.7,6.7,10,olgun
406,Aile Reisi,2009,2018,Comedy,16.0,"Pinar Altug,Emre Kinay,Damla Deniz Turgut,Yeliz Baslangic",4.280952380952381,3.5,10,olgun
407,Acemi Müezzin,2009,2018,Comedy,16.666666666666668,"Burak Altay,Erkan Avci,Bertan Benli,Istemi Betil",6.535416666666666,6.6,10,olgun
408,The Crossroads with Martin Anthony,2009,2010,Talk-Show,14.0,"Martin Anthony,Stewart Copeland,Thomas Buesch,Michael Constantine",6.9,6.9,2,basarili
409,Deniz yildizi,2009,2018,Drama,18.0,"Arda Artun Konak,Feyyaz Gümüs,Mert Ögüt,Erdogan Gizem",3.4375,2.3,10,olgun
410,Bahar Dallari,2009,2010,Drama,18.0,"Luran Ahmeti,Bilgen Akalan,Mehmet Akif Alakurt,Hande Alpaslan",6.075000000000001,6.4,2,basarili
411,Siki dostlar,2009,2018,Comedy,16.0,"Bahar Akça,Ömür Arpaci,Bihter Dinçel,Alp Kirsan",5.940833333333333,7.4,10,olgun
412,Haneler,2009,2010,Comedy,16.0,"Ahmet Saraçoglu,Serdar Orçin,Firat Dogruloglu,Murat Akkoyunlu",6.545833333333334,7.2,2,basarili
413,Ramazan Güzeldir,2009,2018,Comedy,16.0,"Burak Aksak,Zeynep Aydin,Ilker Ayrik,Erman Bagri",7.058333333333334,7.5,10,olgun
414,Bir Zahmet,2009,2010,Comedy,16.0,Gokhan Yikilkan,7.8,7.8,2,basarili
415,Altin kizlar,2009,2018,Comedy,16.0,"Fatma Girik,Hülya Koçyigit,Nevra Serezli,Türkan Soray",5.0,4.9,10,olgun
416,Unutulmaz,2009,2011,Drama,18.0,"Ayla Algan,Aylin Arasil,Murat Bölücek,Deniz Gökçer",6.215,7.5,3,olgun
417,Ask Bir Hayal,2009,2011,Action,17.0,"Bahadir B. Bingöl,Murat Bölücek,Irem Sultan Cengiz,Nehir Erdogan",4.998749999999999,4.8,3,olgun
418,Kelime oyunu,2009,2018,Game-Show,12.0,Ali Ihsan Varol,7.4,7.4,10,olgun
419,Ask ve ceza,2010,2011,Action,16.666666666666668,"Murat Yildirim,Nurgül Yesilçay,Tomris Incer,Feride Çetin",5.8950000000000005,5.9,2,basarili
420,Gönülçelen,2010,2011,Comedy,13.333333333333334,"Tuba Büyüküstün,Günay Karacaoglu,Zeynep Tugçe Bayat,Dilsad Çelebi",6.425000000000001,5.7,2,basarili
421,Türk mali,2010,2018,Comedy,16.0,"Miray Akay,Serenay Aktas,Bekir Aksoy,Selin Altay",4.916666666666667,3.6,9,olgun
422,Mükemmel çift,2010,2018,Comedy,16.0,"Tardu Flordun,Songül Öden,Seda Akman,Zafer Algöz",5.7733333333333325,5.1,9,olgun
423,Dürüye'nin gügümleri,2010,2018,Comedy,16.0,"Didem Uzel,Neslihan Yeldan,Ipek Tuzcuoglu,Emre Kinay",4.989285714285714,4.3,9,olgun
424,Bitmeyen sarki,2010,2011,Comedy,13.333333333333334,"Bergüzar Korel,Bülent Inal,Tuncer Salman,Celil Nalcakan",5.19625,4.3,2,basarili
425,Küçük Sirlar,2010,2018,Drama,18.0,"Sinem Kobal,Burak Özçivit,Merve Bolugur,Ipek Karapinar",4.7837499999999995,3.7,9,olgun
426,Güneydogu'dan Öyküler - Önce Vatan,2010,2018,Drama,16.666666666666668,"Melisa Sözen,Serhat Tutumluer,Umut Kurt,Arsen Gürzap",6.31875,6.9,9,olgun
427,Fatmagül'ün Suçu Ne?,2010,2012,Drama,17.0,"Beren Saat,Engin Akyürek,Firat Çelik,Murat Daltaban",6.249999999999999,5.5,3,olgun
428,Öyle Bir Geçer Zaman ki,2010,2013,Adventure,16.666666666666668,"Ayça Bingöl,Yildiz Çagri Atiksoy,Aras Bulut Iynemli,Mete Horozoglu",6.324999999999999,6.6,4,olgun
429,Yer Gök Ask,2010,2018,Romance,16.0,"Ugur Aslan,Sahin Ergüney,Tolga Sala,Cansin Özyosun",3.7874999999999996,3.7,9,olgun
430,Behzat Ç.: Bir Ankara Polisiyesi,2010,2013,Crime,15.666666666666666,"Erdal Besikçioglu,Fatih Artman,Inanç Konukçu,Seda Bakan",7.133571428571428,8.7,4,olgun
431,Karadaglar,2010,2018,Drama,18.0,"Ahmet Rifat Sungar,Helin Melike Çal,Gülçin Tunçok,Erdal Özyagcilar",5.4,5.5,9,olgun
432,Sen Yuva,2010,2018,Comedy,16.0,"Caner Alkaya,Aysegül Atik,Seda Bakan,Mehtap Bayri",6.416071428571428,7.5,9,olgun
433,Yahsi cazibe,2010,2018,Comedy,16.0,"Melisa Toros,Mert Can Sevimli,Aron Buniel,Seyla Halis",5.824999999999999,5.6,9,olgun
434,Kizim nerede,2010,2011,Action,16.333333333333332,"Erkan Bektas,Serkan Senalp,Nihan Balyali,Erdeniz Kurucan",5.3149999999999995,6.1,2,basarili
435,Türkan,2010,2018,Biography,6.0,"Özgürcan Cevik,Fatih Koyunoglu,Pinar Ögün,Ruzgar Aksoy",5.379583333333334,5.3,9,olgun
436,Rise of the Rebellion,2010,2018,Action,15.0,"Ali Gult,Pinar Kefeli,Iain Maynard,Taner Uzum",7.1,7.1,9,olgun
437,Lale Devri,2010,2014,Drama,18.0,"Tolgahan Sayisman,Hatice Aslan,Kenan Bal,Gül Onat",4.5175,3.5,5,olgun
438,Kanit,2010,2013,Crime,15.0,"Askin Ibik,Murat Çelik,Nazli Bektas,Sebahat Adalar",7.216666666666666,7.1,4,olgun
439,Kiliç Günü,2010,2018,Action,16.666666666666668,"Tansel Öngel,Melike Güner,Nur Erkul,Ertan Saban",6.71875,7.3,9,olgun
440,Elde Var Hayat,2010,2012,Drama,18.0,"Emre Altug,Meral Asiltürk,Yesim Ceren Bozoglu,Rojda Demirer",5.934375,7.1,3,olgun
441,Cakil Taslari,2010,2018,Comedy,16.0,"Ümit Belen,Murat Bölücek,Kadir Dogulu,Hakan Gerçek",5.740833333333333,6.2,9,olgun
442,Cuma'ya Kalsa,2010,2018,Comedy,16.0,"Nilgün Belgün,Haluk Bilginer,Ümit Erdim,Aysun Kayaci",5.441666666666666,5.6,9,olgun
443,Sefkat Tepe,2010,2014,Action,16.333333333333332,"Mert Kiliç,Bora Karakul,Ertugrul Sakar,Mehmet Korhan Firat",5.525,5.6,5,olgun
444,Farkli Desenler,2010,2013,Action,16.333333333333332,"Kamil Adigüzel,Mutlu Albayram,Iskender Altin,Emre Emin Aravi",6.5375,6.4,4,olgun
445,Ogretmen Kemal,2010,2011,Drama,18.0,"Bülent Emin Yarar,Esin Varan,Asena Tugal,Berat Akca",2.6875,2.6,2,basarili
446,Yok Böyle Dans,2010,2011,Game-Show,10.0,"Almeda Abazi,Azra Akin,Altay,Sibel Arna",4.575,4.5,2,basarili
447,Ihanet,2010,2010,Action,17.0,"Selahattin Acar,Toygun Ates,Nejmi Aykar,Sedat Bilenler",6.5375,6.4,1,basarisiz
448,Yerden Yüksek,2010,2010,Comedy,16.0,"Yasemin Kay Allen,Zafer Altun,Hakan Altuntas,Enis Arikan",6.8774999999999995,7.3,1,basarisiz
449,Adini Feriha Koydum,2011,2012,Drama,17.0,"Çagatay Ulusoy,Deniz Ugur,Yusuf Akgün,Feyza Civelek",5.975,5.4,2,basarili
450,Leyla ile Mecnun,2011,2014,Adventure,17.0,"Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant",7.866666666666667,9.2,4,olgun
451,Derin Sular,2011,2018,Drama,18.0,"Alican Albayrak,Hilal Altinbilek,Nese Arat,Deniz Baysal",6.3187500000000005,6.5,8,olgun
452,Muhtesem Yüzyil,2011,2014,Biography,10.666666666666666,"Halit Ergenç,Nur Fettahoglu,Selim Bayraktar,Selen Öztürk",6.4624999999999995,6.6,4,olgun
453,Dinle Sevgili,2011,2018,Drama,18.0,"Ayça Aysin Turan,Evrim Dogan,Esin Yildiz,Baris Arduç",4.31875,3.5,8,olgun
454,Altin Elbiseli Adam,2011,2018,Sport,12.0,Barkin Bayoglu,7.7,7.7,8,olgun
455,Kuzey Güney,2011,2013,Drama,18.0,"Kivanç Tatlitug,Bugra Gülsoy,Öykü Karayel,Mustafa Avkiran",7.013392857142857,7.5,3,olgun
456,Umutsuz Ev Kadinlari,2011,2018,Drama,16.0,"Devrim Özder Akin,Furkan Andic,Erdal Bilingen,Metin Büktel",5.05625,4.9,8,olgun
457,Seni Bana Yazmislar,2011,2018,Comedy,16.0,"Erdem Akakçe,Basri Albayrak,Gümeç Alpay Aslan,Cemal Hünal",6.25,5.9,8,olgun
458,Hayat Devam Ediyor,2011,2018,Drama,18.0,"Meltem Miraloglu,Melda Arat Mutlu,Onur Tuna,Hakan Vanli",4.679166666666667,4.3,8,olgun
459,Yalanci Bahar,2011,2018,Drama,16.666666666666668,"Cansel Elcin,Fahriye Evcen Özçivit,Serkan Ercan,Merve Sevi",5.922619047619048,5.5,8,olgun
460,Extreme-G,2011,2018,Sport,12.0,"Hayko Cepkin,Doruk Cetin,Sezai Calli,Meric Alural",5.96875,5.3,8,olgun
461,Kesanli Ali Destani,2011,2018,Drama,18.0,"Sevki Altunbuken,Belçim Bilgin,Bahtiyar Engin,Beyti Engin",4.95,5.3,8,olgun
462,Mavi Kelebekler,2011,2018,Drama,18.0,"Onur Azad Yilmaz,Sarp Akkaya,Recep Aktug,Münir Akça",5.824999999999999,6.2,8,olgun
463,Beni Affet,2011,2018,Drama,18.0,"Arda Artun Konak,Nejdet Erdem,Zafer Gokcek,Hazal Filiz Küçükköse",3.3625,2.2,8,olgun
464,5'er beser,2011,2018,Comedy,16.0,"Alper Kul,Asli Sahin,Irem Sak,Ruhi Sari",6.704166666666667,7.3,8,olgun
465,Mucize Lezzetler,2011,2018,Family,15.0,Refika Birgul,7.4,7.4,8,olgun
466,Üsküdar'a Giderken,2011,2018,Comedy,16.0,"Öner Erkan,Tülin Özen,Murat Cemcir,Erkan Can",7.035416666666666,8.2,8,olgun
467,Yamak Ahmet,2011,2012,Drama,18.0,"Boglarka Csösz,Yunus Emre Kilinc,Leyla Okay,Dilek Pehlivan",7.5,7.5,2,basarili
468,Araf Zamani,2011,2012,Drama,18.0,"Arda Tugra Asik,Güray Kip,Saruhan Hünel,Sermin Hürmeriç",6.3500000000000005,6.3,2,basarili
469,Alemin Kirali,2011,2013,Comedy,16.0,"Elvin Levinler,Cengiz Esiyok,Esvet Sahin,Ramazan Dogan",4.0375,4.1,3,olgun
470,Canim babam,2011,2018,Comedy,16.0,"Mehmet Aslantug,Özge Özberk,Neslihan Atagül,Merve Ates",5.917857142857143,6.5,8,olgun
471,Iffet,2011,2012,Drama,17.0,"Ibrahim Celikkol,Melike Güner,Mahir Günsiray,Zuhal Olcay",5.9487499999999995,4.6,2,basarili
472,Bizim Yenge,2011,2018,Comedy,16.0,"Nihan Balyali,Berna Koraltürk,Gözde Mutluer,Özlem Tekin",5.556666666666667,5.5,8,olgun
473,Umut Yolculari,2011,2012,Crime,15.0,"Manolya Asik,Yunus Günçe,Marius Toma,Özgür Özaslan",6.45,6.7,2,basarili
474,Tövbeler Tövbesi,2011,2012,Drama,18.0,"Keremcem,Neslihan Maltepe,Gözde Mutluer,Cemal Toktas",4.925,4.3,2,basarili
475,Kayip Araniyor,2011,2018,Crime,15.0,"Levent Üzümcü,Irem Altug,Özcan Varayli,Levent Sülün",5.6125,5.3,8,olgun
476,Mazi Kalbimde Yaradir,2011,2018,Drama,18.0,"Selçuk Yöntem,Sedef Avci,Özgür Çevik,Berk Hakman",6.851249999999999,7.5,8,olgun
477,Burada laf cok,2011,2018,Talk-Show,14.0,"Mesut Yar,Deniz Ugur,Hayko Cepkin,Zeynep Eronat",6.237499999999999,6.6,8,olgun
478,Bir Çocuk Sevdim,2011,2012,Drama,17.0,"Aybars Kartal Özson,Songül Bayoglu,Hasan Say,Mert Ögüt",6.125,6.7,2,basarili
479,Pis Yedili,2011,2014,Comedy,16.0,"Kadir Dogulu,Eda Ece,Günes Zavrak,Halil Babür",3.6149999999999998,2.5,4,olgun
480,Firar,2011,2012,Drama,18.0,"Sebnem Hassanisoughi,Caner Cindoruk,Ismail Hacioglu,Lila Gürmen",5.07625,3.7,2,basarili
481,Mor Menekseler,2011,2012,Crime,15.0,"Berkay Akin,Zafer Algöz,Ozan Arabaci,Ömür Arpaci",6.395833333333334,7.2,2,basarili
482,Al Yazmalim,2011,2012,Drama,18.0,"Seçkin Özdemir,Özge Özpirinçci,Baris Falay,Saygin Soysal",6.904464285714285,6.8,2,basarili
483,Sen de Gitme,2011,2018,Drama,18.0,"Eslem Akar,Sezin Akbasogullari,Ilker Aksum,Sinan Albayrak",6.159848484848485,6.3,8,olgun
484,Küçük Hanimefendi,2011,2012,Drama,18.0,"Cansu Tosun,Baris Bagci,Arsen Gürzap,Derya Alabora",7.004166666666666,6.9,2,basarili
485,Avrupa Avrupa,2011,2013,Comedy,16.0,"Hikmet Aktas,Sehsuvar Aktas,Buse Arslan,Egemen Bagis",6.666666666666667,7.0,3,olgun
486,Izmir çetesi,2011,2018,Adventure,17.0,"Nilay Tugba Baz,Melis Caba,Cem Davran,Kenan Ece",5.204166666666667,5.3,8,olgun
487,Zehirli Sarmasik,2011,2011,Crime,16.5,"Hamdi Alp,Dogu Alpan,Yesim Büber,Nurseli Idiz",6.306666666666667,6.6,1,basarisiz
488,Kursun bilal,2011,2012,Crime,15.0,"Leyla Göksun,Koray Kadiraga,Arda Kural,Cem Kurtoglu",5.512500000000001,5.9,2,basarili
489,Nuri,2011,2011,Comedy,16.0,"Selin Altay,Hakan Altiner,Elcin Atamgüc,Baris Basar",3.754166666666667,4.1,1,basarisiz
490,Kalbim Seni Seçti,2011,2012,Drama,18.0,"Meryem Akar,Öncil Aktarici,Serenay Aktas,Fikret Altunhan",5.68125,5.8,2,basarili
491,Istanbul'un Altinlari,2011,2011,Comedy,16.0,"Demet Akbag,Önder K. Açikbas,Vedat Baltaci,Haluk Bilginer",5.980625,6.7,1,basarisiz
492,Karakol,2011,2011,Action,16.333333333333332,"Seda Akman,Ruzgar Aksoy,Mustafa Avkiran,Müge Boz",6.077500000000001,7.6,1,basarisiz
493,O Ses Türkiye,2011,2018,Music,9.0,"Acun Ilicali,Hadise,Murat Boz,Ebru Gündes",5.675000000000001,6.4,8,olgun
494,Nazli Tolga ile Fox Ana Haber,2011,2013,News,15.0,"Nazli Tolga,Gülbin Tosun",8.2,8.2,3,olgun
495,Isimsizler,2012,2018,Adventure,17.0,"Goksenin Aktas,Umut Eskibatman,Oguz Oztas,Gulistan Sarbas",4.5,3.6,7,olgun
496,Kalbim 4 Mevsim,2012,2018,Drama,17.0,"Cavit Çetin Güner,Mehmet Feim Mehmedof,Sedat Mert,Alim Muzaffer",4.6125,4.6,7,olgun
497,Yalan Dünya,2012,2014,Comedy,16.0,"Gülse Birsel,Altan Erkekli,Füsun Demirel,Olgun Simsek",6.792916666666666,7.0,3,olgun
498,1 Erkek 1 Kadin,2012,2018,Comedy,16.0,"Demet Evgar,Emre Karayel,Hare Sürel,Beyaz",6.778333333333333,7.7,7,olgun
499,Son,2012,2012,Adventure,16.333333333333332,"Mehrnoush Esmaeilpour,Erkan Can,Engin Altan Düzyatan,Selcuk Eisen",6.8500000000000005,7.3,1,basarisiz
500,Acayip hikayeler,2012,2012,Fantasy,12.0,"Hayko Cepkin,Levent Güner,Zeynep Tuncay,Bülent Polat",7.08125,7.5,1,basarisiz
501,Son Yaz - Balkanlar 1912,2012,2012,Drama,17.0,"Hazal Kaya,Tugçe Kazaz,Furkan Palali,Tardu Flordun",5.597916666666666,5.9,1,basarisiz
502,Evlerden Biri,2012,2018,Drama,17.0,"Dilara Aksüyek,Gümeç Alpay Aslan,Cumhuriyet Kiper,Özcan Varayli",6.0375,6.5,7,olgun
503,Sudan Bikmis Baliklar,2012,2018,Romance,16.0,"Konca Cilasun,Burak Sagyasar,Ezgi Eyüboglu,Övül Avkiran",5.88125,6.0,7,olgun
504,Suskunlar,2012,2012,Action,16.333333333333332,"Murat Yildirim,Asli Enver,Sarp Akkaya,Güven Murat Akpinar",7.1850000000000005,8.3,1,basarisiz
505,Bir zamanlar Osmanli: Kiyam,2012,2018,History,8.0,"Kerem Atabeyoglu,Incinur Dasdemir,Ayfer Dönmez,Bedia Ener",5.472499999999999,5.6,7,olgun
506,Isler Güçler,2012,2013,Comedy,16.0,"Adnan Sur,Yakup Sariyildiz,Murat Cemcir,Ahmet Kural",8.039583333333333,8.5,2,basarili
507,Canimin içi,2012,2018,Comedy,16.0,"Perran Kutman,Levent Öktem,Hare Sürel,Sercan Badur",5.958333333333332,5.3,7,olgun
508,Ibreti Ailem,2012,2018,Comedy,16.0,"Müjdat Gezen,Zafer Algöz,Sebnem Sönmez,Olkan Serdar Yildiz",6.220833333333334,6.3,7,olgun
509,Atlilar,2012,2018,Fantasy,14.0,"Ivaylo Asparuhov,Kristian Kiehling,Asli Tandogan,Konstantin Gerginov Timmy",4.93,5.0,7,olgun
510,Karadayi,2012,2015,Action,16.333333333333332,"Kenan Imirzalioglu,Bergüzar Korel,Çetin Tekindor,Riza Kocaoglu",6.76375,7.4,4,olgun
511,Seksenler,2012,2017,Comedy,15.5,"Ayse Tolga,Berat Yenilmez,Vural Çelik,Serhat Mustafa Kiliç",6.675000000000001,7.0,6,olgun
512,Krem,2012,2018,Comedy,16.0,"Duygu Yetis,Kenan Ece,Ebru Akel,Haktan Pak",4.725,4.3,7,olgun
513,Eve Dusen Yildirim,2012,2012,Drama,18.0,"Gizem Karaca,Seda Akman,Murat Han,Mehmetcan Mincinozlu",5.531666666666666,4.7,1,basarisiz
514,Nameless,2012,2018,Action,16.333333333333332,"Hakan Yildiz,Umut Orkun Eskibatman,Oguz Oztas,Goksenin Aktas",6.300000000000001,7.2,7,olgun
515,Sizinkiler - Çatlak Yumurtalar,2012,2018,Animation,5.0,"Hakan Akin,Sabanur Aksoy,Selim Yegin,Çaglar Çorumlu",5.575,5.0,7,olgun
